country,type,count,date
US,Total,277607,4/4/2020
US,Death,7406,4/4/2020
India,Total,3082,4/4/2020
India,Death,86,4/4/2020
Jamaica,Total,53,4/4/2020
Jamaica,Death,3,4/4/2020
Japan,Total,6005,4/11/2020
Japan,Death,99,4/11/2020
Chile,Total,6501,4/11/2020
Chile,Death,65,4/11/2020
Israel,Total,10525,4/11/2020
Israel,Death,96,4/11/2020
Poland,Total,8563,4/18/2020
Poland,Death,339,4/18/2020
Germany,Total,141397,4/18/2020
Germany,Death,4352,4/18/2020
Kuwait,Total,1751,4/18/2020
Kuwait,Death,6,4/18/2020
